county,perc_not_secure_state,taxonomic_subgroup,n
Cortland,12.413793103448276,Gnatcatchers,1
Cortland,12.413793103448276,Grebes,1
Cortland,12.413793103448276,"Grouse, Pheasants, Turkeys",3
Cortland,12.413793103448276,"Gulls, Terns, Plovers, Shorebirds",5
Cortland,12.413793103448276,"Hawks, Falcons, Eagles, Vultures",12
Cortland,12.413793103448276,"Herons, Bitterns, Egrets, Pelicans",4
Cortland,12.413793103448276,Hummingbirds and Swifts,2
Cortland,12.413793103448276,Kingfishers,1
Cortland,12.413793103448276,Kinglets,1
Cortland,12.413793103448276,Mockingbirds and Thrashers,3
Cortland,12.413793103448276,Nightbirds,1
Cortland,12.413793103448276,Nuthatches,2
Cortland,12.413793103448276,Old World Sparrows,1
Cortland,12.413793103448276,Owls,5
Cortland,12.413793103448276,Pigeons and Doves,2
Cortland,12.413793103448276,"Rails, Coots and Cranes",3
Cortland,12.413793103448276,Sparrows and Towhees,11
Cortland,12.413793103448276,Starlings,1
Cortland,12.413793103448276,Swallows,6
Cortland,12.413793103448276,Thrushes and Bluebirds,5
Cortland,12.413793103448276,Vireos,4
Cortland,12.413793103448276,Waxwings,1
Cortland,12.413793103448276,Wood-Warblers,25
Cortland,12.413793103448276,Woodpeckers,7
Cortland,12.413793103448276,Wrens,4
Cortland,12.413793103448276,Larks,1
Cortland,12.413793103448276,Loons,1
Delaware,15.436241610738255,All,157
Delaware,15.436241610738255,Blackbirds and Orioles,6
Delaware,15.436241610738255,Cardinals and Buntings,4
Delaware,15.436241610738255,Chickadees and Titmice,2
Delaware,15.436241610738255,Creepers,1
Delaware,15.436241610738255,Crows and Jays,3
Delaware,15.436241610738255,Cuckoos,2
Delaware,15.436241610738255,"Ducks, Geese, Waterfowl",9
Delaware,15.436241610738255,Finches and Crossbills,6
Delaware,15.436241610738255,Flycatchers,8
Delaware,15.436241610738255,Gnatcatchers,1
Delaware,15.436241610738255,Grebes,1
Delaware,15.436241610738255,"Grouse, Pheasants, Turkeys",4
Delaware,15.436241610738255,"Gulls, Terns, Plovers, Shorebirds",5
Delaware,15.436241610738255,"Hawks, Falcons, Eagles, Vultures",13
Delaware,15.436241610738255,"Herons, Bitterns, Egrets, Pelicans",3
Delaware,15.436241610738255,Hummingbirds and Swifts,2
Delaware,15.436241610738255,Kingfishers,1
Delaware,15.436241610738255,Kinglets,2
Delaware,15.436241610738255,Mockingbirds and Thrashers,3
Delaware,15.436241610738255,Nightbirds,2
Delaware,15.436241610738255,Nuthatches,2
Delaware,15.436241610738255,Old World Sparrows,1
Delaware,15.436241610738255,Owls,6
Delaware,15.436241610738255,Pigeons and Doves,2
Delaware,15.436241610738255,"Rails, Coots and Cranes",1
Delaware,15.436241610738255,Sparrows and Towhees,11
Delaware,15.436241610738255,Starlings,1
Delaware,15.436241610738255,Swallows,6
Delaware,15.436241610738255,Thrushes and Bluebirds,6
Delaware,15.436241610738255,Vireos,4
Delaware,15.436241610738255,Waxwings,1
Delaware,15.436241610738255,Wood-Warblers,27
Delaware,15.436241610738255,Woodpeckers,7
Delaware,15.436241610738255,Wrens,3
Delaware,15.436241610738255,Larks,1
Dutchess,15.789473684210526,All,161
Dutchess,15.789473684210526,Blackbirds and Orioles,7
Dutchess,15.789473684210526,Cardinals and Buntings,4
Dutchess,15.789473684210526,Chickadees and Titmice,2
Dutchess,15.789473684210526,Cormorants,1
Dutchess,15.789473684210526,Creepers,1
Dutchess,15.789473684210526,Crows and Jays,4
Dutchess,15.789473684210526,Cuckoos,2
Dutchess,15.789473684210526,"Ducks, Geese, Waterfowl",8
Dutchess,15.789473684210526,Finches and Crossbills,4
Dutchess,15.789473684210526,Flycatchers,8
Dutchess,15.789473684210526,Gnatcatchers,1
Dutchess,15.789473684210526,Grebes,1
Dutchess,15.789473684210526,"Grouse, Pheasants, Turkeys",4
Dutchess,15.789473684210526,"Gulls, Terns, Plovers, Shorebirds",5
Dutchess,15.789473684210526,"Hawks, Falcons, Eagles, Vultures",14
Dutchess,15.789473684210526,"Herons, Bitterns, Egrets, Pelicans",5
Dutchess,15.789473684210526,Hummingbirds and Swifts,2
Dutchess,15.789473684210526,Kingfishers,1
Dutchess,15.789473684210526,Kinglets,1
Dutchess,15.789473684210526,Mockingbirds and Thrashers,3
Dutchess,15.789473684210526,Nightbirds,2
Dutchess,15.789473684210526,Nuthatches,2
Dutchess,15.789473684210526,Old World Sparrows,1
Dutchess,15.789473684210526,Owls,5
Dutchess,15.789473684210526,Pigeons and Doves,2
Dutchess,15.789473684210526,"Rails, Coots and Cranes",3
Dutchess,15.789473684210526,Sparrows and Towhees,10
Dutchess,15.789473684210526,Starlings,1
Dutchess,15.789473684210526,Swallows,6
Dutchess,15.789473684210526,Thrushes and Bluebirds,5
Dutchess,15.789473684210526,Vireos,5
Dutchess,15.789473684210526,Waxwings,1
Dutchess,15.789473684210526,Wood-Warblers,27
Dutchess,15.789473684210526,Woodpeckers,7
Dutchess,15.789473684210526,Wrens,5
Dutchess,15.789473684210526,Larks,1
Erie,21.604938271604937,All,171
Erie,21.604938271604937,Blackbirds and Orioles,7
Erie,21.604938271604937,Cardinals and Buntings,4
Erie,21.604938271604937,Chickadees and Titmice,2
Erie,21.604938271604937,Cormorants,1
Erie,21.604938271604937,Creepers,1
Erie,21.604938271604937,Crows and Jays,3
Erie,21.604938271604937,Cuckoos,2
Erie,21.604938271604937,"Ducks, Geese, Waterfowl",14
Erie,21.604938271604937,Finches and Crossbills,4
Erie,21.604938271604937,Flycatchers,8
Erie,21.604938271604937,Gnatcatchers,1
Erie,21.604938271604937,Grebes,1
Erie,21.604938271604937,"Grouse, Pheasants, Turkeys",4
Erie,21.604938271604937,"Gulls, Terns, Plovers, Shorebirds",9
Erie,21.604938271604937,"Hawks, Falcons, Eagles, Vultures",13
Erie,21.604938271604937,"Herons, Bitterns, Egrets, Pelicans",6
Erie,21.604938271604937,Hummingbirds and Swifts,2
Erie,21.604938271604937,Kingfishers,1
Erie,21.604938271604937,Kinglets,1
Erie,21.604938271604937,Mockingbirds and Thrashers,3
Erie,21.604938271604937,Nightbirds,1
Erie,21.604938271604937,Nuthatches,2
Erie,21.604938271604937,Old World Sparrows,1
Erie,21.604938271604937,Owls,7
Erie,21.604938271604937,Pigeons and Doves,2
Erie,21.604938271604937,"Rails, Coots and Cranes",4
Erie,21.604938271604937,Sparrows and Towhees,10
Erie,21.604938271604937,Starlings,1
Erie,21.604938271604937,Swallows,6
Erie,21.604938271604937,Thrushes and Bluebirds,5
Erie,21.604938271604937,Vireos,4
Erie,21.604938271604937,Waxwings,1
Erie,21.604938271604937,Wood-Warblers,27
Erie,21.604938271604937,Woodpeckers,7
Erie,21.604938271604937,Wrens,5
Erie,21.604938271604937,Larks,1
Essex,27.86885245901639,All,190
Essex,27.86885245901639,Blackbirds and Orioles,8
Essex,27.86885245901639,Cardinals and Buntings,4
Essex,27.86885245901639,Chickadees and Titmice,3
Essex,27.86885245901639,Cormorants,1
Essex,27.86885245901639,Creepers,1
Essex,27.86885245901639,Crows and Jays,5
Essex,27.86885245901639,Cuckoos,2
Essex,27.86885245901639,"Ducks, Geese, Waterfowl",15
Essex,27.86885245901639,Finches and Crossbills,7
Essex,27.86885245901639,Flycatchers,9
