long,lat,group,order,region,County,Species
-74.04906463623047,42.954647064208984,1840,54312,new york,saratoga,161
-74.08917236328125,42.954647064208984,1840,54313,new york,saratoga,161
-74.08917236328125,42.954647064208984,1841,54315,new york,schenectady,130
-74.04906463623047,42.954647064208984,1841,54316,new york,schenectady,130
-73.95738983154297,42.8973503112793,1841,54317,new york,schenectady,130
-73.91155242919922,42.9145393371582,1841,54318,new york,schenectady,130
-73.90582275390625,42.87443161010742,1841,54319,new york,schenectady,130
-73.90010070800781,42.85724639892578,1841,54320,new york,schenectady,130
-73.882904052734375,42.834327697753906,1841,54321,new york,schenectady,130
-73.85426330566406,42.817138671875,1841,54322,new york,schenectady,130
-73.842803955078125,42.817138671875,1841,54323,new york,schenectady,130
-73.81988525390625,42.78275680541992,1841,54324,new york,schenectady,130
-74.17511749267578,42.73119354248047,1841,54325,new york,schenectady,130
-74.18657684326172,42.71400451660156,1841,54326,new york,schenectady,130
-74.19229888916016,42.71400451660156,1841,54327,new york,schenectady,130
-74.243865966796875,42.7254638671875,1841,54328,new york,schenectady,130
-74.243865966796875,42.71400451660156,1841,54329,new york,schenectady,130
-74.31262969970703,42.748382568359375,1841,54330,new york,schenectady,130
-74.27824401855469,42.75983810424805,1841,54331,new york,schenectady,130
-74.26106262207031,42.77702713012695,1841,54332,new york,schenectady,130
-74.249603271484375,42.79994583129883,1841,54333,new york,schenectady,130
-74.08917236328125,42.954647064208984,1841,54334,new york,schenectady,130
-74.656402587890625,42.82859420776367,1842,54336,new york,schoharie,159
-74.55326843261719,42.81140899658203,1842,54337,new york,schoharie,159
-74.46159362792969,42.77130126953125,1842,54338,new york,schoharie,159
-74.27824401855469,42.788490295410156,1842,54339,new york,schoharie,159
-74.249603271484375,42.79994583129883,1842,54340,new york,schoharie,159
-74.26106262207031,42.77702713012695,1842,54341,new york,schoharie,159
-74.27824401855469,42.75983810424805,1842,54342,new york,schoharie,159
-74.31262969970703,42.748382568359375,1842,54343,new york,schoharie,159
-74.243865966796875,42.71400451660156,1842,54344,new york,schoharie,159
-74.243865966796875,42.7254638671875,1842,54345,new york,schoharie,159
-74.19229888916016,42.71400451660156,1842,54346,new york,schoharie,159
-74.18657684326172,42.71400451660156,1842,54347,new york,schoharie,159
